seasonal,trend,remainder,Date
921.3356996802454,29072.25140720334,-856.0037735502556,2017-11-09
639.6503363295258,29770.859716594292,-573.9267195904868,2017-11-10
-1678.9338712806623,30060.275348579344,2439.450189367988,2017-11-11
-2330.046098941667,30349.6909805644,1307.1467850439367,2017-11-12
313.5175775448375,30150.255827850844,367.0599279376511,2017-11-13
1096.9234094816782,29950.82067513729,-231.66075128563534,2017-11-14
1037.5529960109286,29624.44896472819,-472.3352940724508,2017-11-15
921.3356996802454,29298.077254319094,-1313.496287332673,2017-11-16
639.6503363295258,29227.143529681118,-365.4605326773126,2017-11-17
-1678.9338712806623,29156.209805043138,1275.5990662375261,2017-11-18
-2330.046098941667,29061.957971997603,-475.66187305593485,2017-11-19
313.5175775448375,28967.706138952068,1090.5262835030953,2017-11-20
1096.9234094816782,28719.00899170404,103.85926548095085,2017-11-21
1037.5529960109286,28470.311844456006,-290.48984046693295,2017-11-22
921.3356996802454,28383.421144608343,-1139.8401776219216,2017-11-23
639.6503363295258,28296.530444760683,-491.6807810902101,2017-11-24
-1678.9338712806623,28373.649767868097,242.36743674589889,2017-11-25
-2330.046098941667,28450.76909097551,306.5270079661568,2017-11-26
313.5175775448375,28550.72984427015,609.4192448516806,2017-11-27
1096.9234094816782,28650.690597564793,84.71932628686045,2017-11-28
1037.5529960109286,28827.59586602144,-1011.5238620323653,2017-11-29
921.3356996802454,29004.501134478087,-80.46183415833366,2017-11-30
639.6503363295258,29256.629764174722,-965.2384338375814,2017-12-01
-1678.9338712806623,29508.75839387136,942.7171440759703,2017-12-02
-2330.046098941667,29709.77403086781,760.2304014071888,2017-12-03
313.5175775448375,29910.78966786426,972.5260879242342,2017-12-04
1096.9234094816782,30300.233988916807,-1646.4907317318175,2017-12-05
1037.5529960109286,30689.678309969357,-1377.0646393136158,2017-12-06
921.3356996802454,31280.022165674665,-556.0661986882442,2017-12-07
639.6503363295258,31870.366021379978,269.2753089571597,2017-12-08
-1678.9338712806623,32515.1884232199,1726.370448060763,2017-12-09
-2330.046098941667,33160.01082505982,1016.2852738818474,2017-12-10
313.5175775448375,33699.95775225933,-1054.4336631375045,2017-12-11
1096.9234094816782,34239.90467945884,-2087.036422273857,2017-12-12
1037.5529960109286,34528.57337199323,1807.7486319958407,2017-12-13
921.3356996802454,34817.24206452763,-81.11943087453983,2017-12-14
639.6503363295258,34503.894040423496,2468.7056232469768,2017-12-15
-1678.9338712806623,34190.546016319364,1500.3461882946358,2017-12-16
-2330.046098941667,33346.18353836728,370.6125605743873,2017-12-17
313.5175775448375,32501.821060415194,-1006.7553046266985,2017-12-18
1096.9234094816782,31824.76902488576,-2470.359101034108,2017-12-19
1037.5529960109286,31147.716989356333,-893.4366520339281,2017-12-20
921.3356996802454,30947.79038223341,1219.0822514196807,2017-12-21
639.6503363295258,30747.863775110483,621.8192218933218,2017-12-22
-1678.9338712806623,31162.317673844056,-1103.1338025633922,2017-12-23
-2330.046098941667,31576.77157257763,-937.9338069692931,2017-12-24
313.5175775448375,32700.14754672911,-3090.456790940614,2017-12-25
1096.9234094816782,33823.52352088059,-558.5302636956039,2017-12-26
1037.5529960109286,35373.15621699427,617.16578699480306,2017-12-27
921.3356996802454,36922.78891310795,2119.083720545139,2017-12-28
639.6503363295258,38100.99459743909,651.8133995647222,2017-12-29
-1678.9338712806623,39279.20028177023,-181.22474382290238,2017-12-30
-2330.046098941667,39690.42874459276,1655.6173543489058,2017-12-31
313.5175775448375,40101.6572074153,-224.13311829347367,2018-01-01
1096.9234094816782,40645.39891440113,-114.98899054947105,2018-01-02
1037.5529960109286,41189.140621386956,-1373.943617397883,2018-01-03
921.3356996802454,41623.67178102357,-1480.0074807038181,2018-01-04
639.6503363295258,42058.202940660194,1499.9383896769432,2018-01-05
-1678.9338712806623,41372.05347940643,3872.630391874234,2018-01-06
-2330.046098941667,40685.904018152665,3803.8504141223384,2018-01-07
313.5175775448375,38721.66611737413,1265.4829717476969,2018-01-08
1096.9234094816782,36757.42821659559,-2516.9766260772667,2018-01-09
1037.5529960109286,35165.480656705025,-979.1586527159525,2018-01-10
921.3356996802454,33573.533096814455,-2759.66046316137,2018-01-11
639.6503363295258,33802.480527577696,-5231.089197240555,2018-01-12
-1678.9338712806623,34031.42795834094,-1819.8274203936053,2018-01-13
-2330.046098941667,34895.88223561889,4137.413863322778,2018-01-14
313.5175775448375,35760.33651289685,3183.8959095583123,2018-01-15
1096.9234094816782,35972.07284088484,-900.6629170331798,2018-01-16
