Date,Actual,ARIMA_Fitted,ETS_Fitted
2017-10-22,23570.958333333332,25039.818845423084,23389.71828051532
2017-10-23,27456.583333333332,25795.93658465569,25892.015622745414
2017-10-24,28657.416666666668,28803.386732154326,28168.079112595344
2017-10-25,26542.25,28119.097872787403,28722.987141900147
2017-10-26,26713.458333333332,26180.356528029002,26368.306923106426
2017-10-27,26743.25,27373.55461043052,26453.42596470467
2017-10-28,24224.625,26006.33433182996,24727.064389304127
2017-10-29,24605.666666666668,24558.24246134218,23576.66190449026
2017-10-30,26786.291666666668,26853.96128237828,26926.777496963034
2017-10-31,27162.541666666668,27437.918718495115,27497.85092810041
2017-11-01,28511.458333333332,27211.121494095874,27227.927250320747
2017-11-02,27578.625,29173.117360329758,28337.42049666357
2017-11-03,26931,27111.687804752808,27318.697992958158
2017-11-04,24362.208333333332,26493.476681629258,24914.803013524717
2017-11-05,24637.666666666668,24465.742719656242,23714.403841787782
2017-11-06,27089.416666666668,27026.139832556073,26958.67085019581
2017-11-07,28801.333333333332,27963.554466363847,27800.929142592046
2017-11-08,29431.916666666668,29060.75138690827,28866.747051395712
2017-11-09,29137.583333333332,29350.283896086417,29257.74620754646
2017-11-10,29836.583333333332,28926.358993983882,28877.629376877252
2017-11-11,30820.791666666668,28867.683676106742,27820.23451868709
2017-11-12,29326.791666666668,30844.559029807268,30172.778194024835
2017-11-13,30830.833333333332,29349.40591986152,31647.89413085208
2017-11-14,30816.083333333332,31697.783871143416,31542.528236633152
2017-11-15,30189.666666666668,30507.19532446631,30881.626898627914
2017-11-16,28905.916666666668,29855.4751265886,30015.553785314718
2017-11-17,29501.333333333332,28943.274056545102,28646.1703271559
2017-11-18,28752.875,29474.63486087529,27485.199667255834
2017-11-19,26256.25,28347.83315689372,28104.64991280818
2017-11-20,30371.75,27265.115456195286,28577.45607352115
2017-11-21,29919.791666666668,32057.413278843,31083.19163649011
2017-11-22,29217.375,28868.64761615447,29985.382589182373
2017-11-23,28164.916666666668,29616.325620028885,29043.22787644003
2017-11-24,28444.5,28477.837480584767,27905.344106354103
2017-11-25,26937.083333333332,29001.634201273515,26428.439446539116
2017-11-26,26427.25,26215.386548760565,26288.622039870716
2017-11-27,29473.666666666668,28751.86478292388,28748.62171396991
2017-11-28,29832.333333333332,29888.94496363861,30184.91914494622
2017-11-29,28853.625,29607.26080950818,29897.882444144274
2017-11-30,29845.375,28529.46604851975,28679.49456959743
2017-12-01,28931.041666666668,30602.77091261363,29585.739203241636
2017-12-02,28772.541666666668,27904.434032311452,26915.097995725846
2017-12-03,28139.958333333332,28810.445711353117,28123.90776098552
